Company Name,Employees,HQ Location,Ownership Status,Description,Verticals,Primary Industry Sector,Primary Industry Group,Last Financing Date,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Size,Last Financing Valuation,Total Raised,# Active Investors,Active Investors,Website
Jetty,50,"New York, NY",Privately Held (backing),"Owner and operator of a financial services company for everyday renters. The company's suite of financial services and insurance products focuses on solving the problems both consumers and landlords experience during a rental process and allows consumers to meet the requirements of posting an expensive security deposit, finding a lease guarantor and obtaining renters insurance, enabling people to get the protection they actually need at a price they can afford.",,Financial Services,Insurance,6-Feb-19,Early Stage VC,Series B,25,,40.5,10,"BoxGroup, Graph Ventures, Khosla Ventures, MetaProp NYC, Red Swan Ventures, Ribbit Capital, Social Capital, Solon Mack Capital, SV Angel, Valar Ventures",www.jetty.com
TheGuarantors,50,"New York, NY",Privately Held (backing),"Provider of a real estate insurtech platform designed to make life easier for both landlords and tenants. The company's platform acts as a financing tool for tenant companies to replace their standard security deposit for a small annual fee while providing landlords with desired protection, enabling tenants to unfreeze capital and finance new projects.","FinTech, InsurTech, Real Estate Technology, TMT",Financial Services,Insurance,25-Feb-19,Early Stage VC,Series B,15,,27,15,"50 Partners, Alven Capital Partners, Arnaud Achour, DTH Capital, Fides+Ratio, Fifth Wall Ventures, FJ Labs, Global Founders Capital, Kima Ventures, Partech Partners, Patricia Barbizet, Residence Ventures, Rocket Internet, Silvertech Ventures, White Star Capital",www.theguarantors.com
Apollo (business intelligence platform),50,"San Francisco, CA",Privately Held (backing),"Developer of a sales force integration platform designed to connect companies with enhanced products to businesses who need them. The company's platform helps to identify, analyze and engage future customers in a single unified platform, enabling businesses to drive revenue, spark opportunities, increase engagement rates, close larger deals and accelerate sales velocity.","Marketing Tech, SaaS, TMT",Information Technology,Software,26-Jun-18,Early Stage VC,Series A,7,20,9.32,10,"Argonautic Ventures, ChinaRock Capital Management, Nexus Venture Partners, Pascal Capital, Social Capital, Struck Capital, SV Angel, Transmedia Capital, Y Combinator, ZhenFund",www.apollo.io
Opya,50,"San Mateo, CA",Privately Held (backing),Provider of a data-driven therapy platform designed to improve the effectiveness of the care we deliver. The company's platform was created to ensure families and clinicians have the information they need to maximize their full potential.,Life Sciences,Healthcare,Other Healthcare,2-Oct-17,Seed Round,Seed Round,4.5,12.5,4.5,3,"LearnStart, New Ground Ventures, SpringRock Ventures",www.opyacare.com
Collective Retreats,50,"Denver, CO",Privately Held (backing),"Operator of a hospitality company intended to create and offer asset-light, nimble hotels in premium, unique destinations. The company's luxury travel services maintain the focus on guest experience, developing activities like fly-fishing, white-water rafting, and horseback riding along with lavish accommodations like spa access and concierge services through a collection of unique luxury retreats in unexpected places, providing guests with the comfort of a five-star hotel without sacrificing luxury hospitality.",TMT,Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure",13-May-19,Early Stage VC,Series A2,5,35,17.5,8,"Altos Ventures, BBG Ventures, BoxGroup, First Round Capital, Gregg Brockway, Revolution, Simon Turner, Slow Ventures",www.collectiveretreats.com
Blavity,50,"San Francisco, CA",Privately Held (backing),"Provider of a video curating and editing platform created to economically support Black millennials across the African disapora. The company's video curating and editing platform helps to discover multi-cultural contents and videos, built for and by passionate black millennials trying to add more balance to the way Black people are represented in media and culture.",TMT,Consumer Products and Services (B2C),Media,20-Jul-18,Early Stage VC,Series A,6.5,,8.53,11,"500 Startups, Baron Davis Enterprises, Base Ventures, Comcast Ventures, Cross Culture Ventures, GV, Harlem Capital Partners, John S. and James L. Knight Foundation, Macro Ventures, New Media Ventures, Plexo Capital",www.blavity.com
FreightWaves,50,"Chattanooga, TN",Privately Held (backing),"Provider of a data and content forum platform designed to provide market participants with near-time analytics on the state of the freight market and tools that provide actionable outcomes. The company's platform is a central econometric and financial market data platform that uses reference price data for trucking futures contracts and settlement, enabling trucking financial participants to hedge and speculate on the price volatility of trucking spot rates.","Big Data, SaaS, TMT",Business Products and Services (B2B),Commercial Services,25-Feb-19,Early Stage VC,Series B,20.13,,38.78,15,"8VC, Advisors.Fund, Ascend Venture Capital, Breakthrough Fuel, LLC, Covera Ventures, Engage Ventures, Fontinalis Partners, Hearst Ventures, Hunt Technology Ventures, Kelvin Beachum, Pritzker Group Venture Capital, Prologis, Revolution, Story Ventures, Tech Square Venture Partners",www.freightwaves.com
Spring Health (Other Healthcare Technology Systems),50,"New York, NY",Privately Held (backing),"Developer of a medical platform designed to treat mentally ill patients. The company's medical platform uses machine learning to select the appropriate treatment for depression through a digital test, enabling patients to find relief faster through data-driven and personalized care.","Artificial Intelligence & Machine Learning, HealthTech, TMT",Healthcare,Healthcare Technology Systems,7-Sep-18,Seed Round,Seed Round,8.33,,9.94,17,"American Psychiatric Association, BBG Ventures, InnovateHealth Yale, Kerdos Ventures, Kevin Ryan, MassChallenge, New York Digital Health Innovation Lab, North Sound Ventures, Partnership for New York City, Rethink, Rethink Impact, Rough Draft Ventures, RRE Ventures, Saddlefire Ventures, The William K. Warren Foundation, Work-Bench, Yale Entrepreneurial Institute",www.springhealth.com
Indio,50,"San Francisco, CA",Privately Held (backing),"Provider of a digital platform intended to simplify the insurance application process for brokers and their clients. The company's platform comes pre-loaded with a library of 5,000+ digitally enhanced ""smart"" insurance forms and applications, a full e-signature solution, and secures document sharing, enabling brokers, big and small to easily service their insurance clients.","FinTech, InsurTech, TMT",Information Technology,Software,2-May-19,Early Stage VC,Series B,22,112,30.05,11,"500 Startups, 8VC, 9Mile Labs, Acceleprise, Compound, Hiscox, Menlo Ventures, Merus Capital, New Enterprise Associates, NFP Ventures, Right Side Capital Management",www.useindio.com
Tulip (Digital Manufacturing Platform),50,"Somerville, MA",Privately Held (backing),"Developer of a manufacturing application development platform intended to develop IoT-enabled digital tools and applications. The company's platform digitizes paper-based processes, integrate industrial IoT technologies with legacy factory machines as well as capture and analyze real-time production floor data, enabling manufacturers to increase their yield, improve quality and accelerate their process improvement by creating no-code application in a hassle-free manner.","Advanced Manufacturing, Internet of Things, TMT",Information Technology,Software,25-Feb-19,Early Stage VC,Series B,18.4,93.4,31.6,8,"Acequia Capital, C4 Ventures, E14 Fund Management, Founder Collective, New Enterprise Associates, Pitango Venture Capital, Stex25, Vertex Ventures US",www.tulip.co
Nautilus Labs ( Marine Logistics Software),50,"New York, NY",Privately Held (backing),"Developer of a marine logistics software intended to advance the efficiency of ocean commerce. The company's software provides real time fleet performance optimization tools without a need for manually collected data, enabling shipping companies to minimize fuel consumption, maximize operational efficiency, and optimize fleet performance.","Artificial Intelligence & Machine Learning, Big Data, SaaS, TMT",Information Technology,Software,25-Feb-19,Early Stage VC,Series A,11,40,15.23,9,"Amplifier (Berlin), Bre Pettis, Company (Office Space), Haystack, Homebrew, M12, Quiet Capital, Root Ventures, Trail Mix Ventures",www.nautiluslabs.co
LYMBR,50,"Norwalk, CT",Privately Held (backing),"Provider of personalized stretching services intended to help clients improve flexibility, strengthen and recover from muscle soreness. The company's muscle stretching therapy service offers therapist-assisted stretching at retail, in the home and through corporate wellness programs and three different stretch therapy programs consisting of relaxation, performance, and recovery, enabling customers to get stretching therapy from certified and trained therapists to improve their wellness.",,Healthcare,Healthcare Services,,Early Stage VC,Series B1,5,,10.5,2,"Cava Capital, Seed Sumo",www.belymbr.com
Aeva,50,"Mountain View, CA",Privately Held (backing),"Developer of self-driving car sensors designed to measure velocity. The company's technological systems incorporate the use of vision, depth and motion sensors to provide greater range and resolution across weather conditions, enabling autonomous vehicle industry players and corporate clients to utilize new dimensions and precisely measure velocity of every pixel in the scene.","Artificial Intelligence & Machine Learning, Autonomous cars",Information Technology,Other Information Technology,1-Oct-18,Early Stage VC,Series A,45,201,48.5,5,"11.2 Capital, Canaan Partners, Lux Capital, Silver Lake Management, Socii Capital",www.aeva.ai
